# Sample flow file,,,,,,,
# Scenario B flow,,,,,,,
# To be processed using flow stress calculator (FlowStress_main.py),,,,,,,
# Robert Morden University of Melbourne February 2024,,,,,,,
,year,month,C1,C2,C3,C4,C5
1912-08-01,1912,8,46.5226,233.453,519.7803,1357.8454,0.2062
1912-09-01,1912,9,394.6154,928.6466,2824.176,8738.5771,59.6944
1912-10-01,1912,10,54.5147,137.4719,490.5254,1707.7547,1.0495
1912-11-01,1912,11,100,307.1868,813.9413,3056.0392,15.3225
1912-12-01,1912,12,73.1235,158.2026,398.1917,1410.7869,1.9639
1913-01-01,1913,1,10.0623,115.006,81.5232,363.563,0.0096
1913-02-01,1913,2,41.3632,133.3739,326.599,1040.7882,1.6067
1913-03-01,1913,3,583.714,1586.6043,3761.3774,13585.2437,210.6043
1913-04-01,1913,4,71.0569,123.5878,545.4112,2012.4244,1.075
1913-05-01,1913,5,72.365,579.8534,771.8239,5828.0393,20.7038
1913-06-01,1913,6,41.5113,219.2154,322.6051,2690.0136,1.8886
1913-07-01,1913,7,40.1072,423.1142,452.6923,3924.7942,0.3994
1913-08-01,1913,8,100,1046.3727,1634.0738,7605.6395,35.0964
1913-09-01,1913,9,100,783.3635,1384.0665,6344.5153,81.7356
1913-10-01,1913,10,29.5987,187.8128,389.1802,1537.5568,2.5294
1913-11-01,1913,11,49.1416,301.3694,558.3452,2643.8263,16.6281
1913-12-01,1913,12,12.3717,124.8289,147.0812,725.3837,0.1951
1914-01-01,1914,1,6.2847,116.5605,53.2658,356.815,0.0092
1914-02-01,1914,2,1.4469,101.9476,16.1464,163.3785,0
1914-03-01,1914,3,3.8745,118.2061,33.2817,245.5456,0.0123
1914-04-01,1914,4,55.3772,153.3062,346.9358,1221.951,1.5923
1914-05-01,1914,5,28.6857,157.5413,219.0444,784.0252,0.3935
1914-06-01,1914,6,11.8741,114.8132,90.5537,293.2188,0.0049
1914-07-01,1914,7,100,307.1464,1158.0294,2346.0514,4.2019
1914-08-01,1914,8,15.1065,115.2473,200.4259,454.938,0.0218
1914-09-01,1914,9,9.4776,120.2379,135.136,431.0371,0.0259
1914-10-01,1914,10,1.6511,106.0915,32.4185,154.6313,0.0005
